时间,代码,日线信号,小时信号,最终操作,日线得分,原因,运行ID
2026-07-24 23:42:05,黄金ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,通信ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,沪深300ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,创业板ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,黄金ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,通信ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,沪深300ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,创业板ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,科创50ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,半导体ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,芯片ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,黄金ETF,BUY,,BUY,3,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,通信ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,沪深300ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,创业板ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,科创50ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,半导体ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,芯片ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,黄金ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,通信ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,沪深300ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,创业板ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,科创50ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:05,半导体ETF,BUY,,BUY,0,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,芯片ETF,BUY,,BUY,0,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,通信ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,沪深300ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,创业板ETF,BUY,,BUY,0,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,科创50ETF,BUY,,BUY,0,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,半导体ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,芯片ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,通信ETF,BUY,,BUY,0,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,沪深300ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,创业板ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,科创50ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,半导体ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,芯片ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,通信ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,沪深300ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,创业板ETF,BUY,,BUY,0,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,通信ETF,BUY,,BUY,0,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,沪深300ETF,BUY,,BUY,0,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,创业板ETF,BUY,,BUY,0,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,通信ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,沪深300ETF,BUY,,BUY,0,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,创业板ETF,BUY,,BUY,0,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,通信ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,沪深300ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,创业板ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,通信ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,沪深300ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,创业板ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,通信ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,沪深300ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,创业板ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,沪深300ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,创业板ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,半导体ETF,SELL,,SELL,-1,仅日线信号: SELL (无小时线数据),20260724_234151
2026-07-24 23:42:06,沪深300ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,创业板ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,半导体ETF,SELL,,SELL,-1,仅日线信号: SELL (无小时线数据),20260724_234151
2026-07-24 23:42:06,沪深300ETF,BUY,,BUY,2,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,科创50ETF,SELL,,SELL,-1,仅日线信号: SELL (无小时线数据),20260724_234151
2026-07-24 23:42:06,半导体ETF,SELL,,SELL,-1,仅日线信号: SELL (无小时线数据),20260724_234151
2026-07-24 23:42:06,芯片ETF,SELL,,SELL,-1,仅日线信号: SELL (无小时线数据),20260724_234151
2026-07-24 23:42:06,科创50ETF,SELL,,SELL,-1,仅日线信号: SELL (无小时线数据),20260724_234151
2026-07-24 23:42:06,半导体ETF,SELL,,SELL,-1,仅日线信号: SELL (无小时线数据),20260724_234151
2026-07-24 23:42:06,芯片ETF,SELL,,SELL,-1,仅日线信号: SELL (无小时线数据),20260724_234151
2026-07-24 23:42:06,黄金ETF,BUY,,BUY,0,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,科创50ETF,SELL,,SELL,-1,仅日线信号: SELL (无小时线数据),20260724_234151
2026-07-24 23:42:06,半导体ETF,SELL,,SELL,-1,仅日线信号: SELL (无小时线数据),20260724_234151
2026-07-24 23:42:06,芯片ETF,SELL,,SELL,-1,仅日线信号: SELL (无小时线数据),20260724_234151
2026-07-24 23:42:06,黄金ETF,BUY,,BUY,1,仅日线信号: BUY (无小时线数据),20260724_234151
2026-07-24 23:42:06,通信ETF,SELL,,SELL,-1,仅日线信号: SELL (无小时线数据),20260724_234151
2026-07-24 23:42:07,科创50ETF,SELL,,SELL,-1,仅日线信号: SELL (无小时线数据),20260724_234151
2026-07-24 23:42:07,半导体ETF,SELL,,SELL,-1,仅日线信号: SELL (无小时线数据),20260724_234151
